Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
26,75,145,202,270,292,422,561,654,731,808,926,1037,1085,1185,1229,1242,1348,1447,1501,1594,1647,1692,1774,1883,1958,2013,2087,2173,2193,2287,2329,2397,2515,2581,2618,2638,2707,2811,2850,2891,3006,3111,3093,3161,3225,3222,3273,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25,81,156,212,281,313,449,587,687,758,844,959,1074,1132,1231,1275,1286,1390,1494,1549,1643,1696,1745,1824,1934,2013,2068,2157,2230,2252,2346,2396,2453,2580,2656,2681,2709,2767,2891,2922,2941,3074,3181,3151,3231,3275,3256,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
24,86,165,220,299,329,479,615,717,796,880,999,1107,1177,1278,1326,1334,1434,1544,1607,1696,1744,1800,1872,1996,2074,2126,2213,2293,2318,2414,2461,2526,2648,2715,2760,2778,2835,2966,2998,3029,3142,3238,3206,3257,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
23,91,176,237,324,352,511,642,752,832,924,1039,1149,1223,1324,1380,1385,1484,1595,1663,1745,1803,1857,1942,2055,2135,2187,2281,2369,2376,2473,2538,2604,2715,2789,2818,2862,2903,3025,3057,3100,3216,.,3241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
22,96,188,255,346,370,538,680,788,874,966,1088,1193,1272,1369,1436,1431,1536,1649,1725,1795,1852,1925,2007,2119,2201,2252,2341,2442,2445,2544,2606,2683,2775,2861,2908,2941,2963,3124,3156,3168,3268,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21,102,196,272,370,399,573,713,832,924,1009,1134,1239,1324,1426,1481,1481,1593,1704,1777,1857,1911,1997,2074,2185,2275,2318,2413,2510,2516,2633,2670,2765,2854,2928,2971,3002,3054,3177,3241,3225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,109,205,287,403,420,613,750,869,973,1056,1190,1289,1378,1496,1529,1540,1650,1766,1838,1926,1977,2071,2156,2266,2351,2400,2489,2596,2598,2729,2763,2839,2937,3010,3051,3121,3155,3237,3261,3266,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19,117,221,307,429,445,659,785,903,1008,1103,1245,1346,1432,1551,1590,1600,1715,1822,1905,1990,2057,2142,2232,2341,2417,2492,2566,2673,2682,2807,2834,2927,3041,3151,3148,3179,3229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
18,124,235,324,462,481,696,833,966,1059,1162,1304,1400,1498,1608,1639,1659,1780,1888,1971,2068,2134,2221,2310,2434,2493,2574,2643,2761,2768,2893,2934,2999,3131,3235,3234,3225,3230,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,132,251,353,498,526,746,884,1016,1104,1216,1351,1464,1569,1665,1705,1726,1855,1955,2046,2142,2217,2302,2393,2524,2570,2646,2718,2849,2874,3000,3061,3116,3219,3237,.,3246,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,142,264,378,542,555,797,934,1072,1169,1269,1404,1526,1641,1736,1779,1793,1925,2033,2134,2229,2310,2397,2488,2616,2667,2733,2810,2940,2954,3089,3178,3207,3258,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,150,288,409,576,600,846,981,1126,1235,1333,1474,1592,1699,1819,1857,1885,1998,2114,2220,2309,2405,2483,2586,2713,2794,2848,2901,3033,3059,3170,3237,3257,3261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14,170,309,453,632,643,904,1038,1183,1302,1403,1542,1660,1781,1892,1944,1980,2088,2200,2317,2403,2494,2580,2704,2821,2901,2947,3001,3150,3150,3247,3277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
